UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,AG_ECO3,AG_ECO3_NM,AG_ECO9,AG_ECO9_NM,BORD_RIV,CNTYNAME,COMID,DES_FTYPE,ELEVATION,EPA_REG,EVAL_CAT,FCODE,FED_NONFED,FEOW_ID,FRAME08,FRAME13,FRAME18,FRAMEEW,FRAMEWS,FS_EW,FTYPE,GNIS_ID,GNIS_NAME,HUC2,HUC2_NM,HUC8,HUC8_NM,LAT_DD83,LON_DD83,MAJ_BAS_NM,MAJ_BASIN,MAJ_RIV_NM,MAJ_RIVER,MIS_BAS_NM,MIS_BASIN,MISS_BASIN,NA_L1CODE,NA_L1NAME,NA_L2CODE,NA_L2NAME,NARS_NAME,OWN_NARS,PANEL_RVST,PANEL_SOT,PANEL_USE,PANEL_WGT,PROB_CAT,PSTL_CODE,REACHCODE,SF_ST_ID,SITETYPE,SOURCE,STATE_NM,STATE_SF,STATECTY,STRAH_CAL,STRAH_CAT,STRAH_ORD,STRATUM,TNT_CAT,URBN_NRS08,URBN_NRS18,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,USFS,WGT_CAT,WGT_DSGN,WGT_TP_EXTENT,XCOORD,YCOORD,WGT_TP_CORE
2012497,7/8/2021,NRS18_WI_10036,7/17/2018,1,2018,NRS_WI-10184,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Eau Claire,13098216,StreamRiverPer,287.44,Region_05,Target_Sampled,46006,Federal,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1561430,Beaver Creek,H07,MS,H07050006,Eau Claire,44.68915569,-91.36509269,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,Beaver Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_BaseSS_UMW,NRS18_18,WI_SS_UMW,WI,R07050006000228,None,PROB,NHDPlusv2,Wisconsin,Include,F55035,2,SmallStreams,2,WI,Target,Non-Urban,Non-Urban,52,Driftless Area,52b,Blufflands and Coulees,Not_Forest_Service,WI_SS_UMW_Include,5174.791836,1398.582509,366509.6132,813271.2663,1605.779918
2012498,7/8/2021,NRS18_WI_10038,7/18/2018,1,2018,NRS_WI-10186,2018-19,PLNLOW,Plains and Lowlands,TPL,Temperate Plains,Not_Border,Pierce,1873861,StreamRiverPer,288.12,Region_05,Target_Sampled,46006,Federal,148,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1581745,Trimbelle River,H07,MS,H07040001,Rush-Vermillion,44.7900719,-92.52999391,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,Mississippi_Basin,9,GREAT PLAINS,9.2,TEMPERATE PRAIRIES,Trimbelle River,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_BaseLS_TPL,NRS18_18,WI_LS_TPL,WI,R07040001000065,None,PROB,NHDPlusv2,Wisconsin,Include,F55093,3,LargeStreams,3,WI,Target,Non-Urban,Non-Urban,47,Western Corn Belt Plains,47g,Lower St. Croix and Vermillion Valleys,Not_Forest_Service,WI_LS_TPL_Include,720.7969207,316.4814994,274031.5898,820571.8579,316.4814994
2012499,7/8/2021,NRS18_WI_10019,7/19/2018,1,2018,NRS_WI-10158,2018-19,PLNLOW,Plains and Lowlands,UMW,Upper Midwest,Not_Border,Dunn,13085433,StreamRiverPer,259.135,Region_05,Target_Sampled,46006,Federal,148,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1568251,Little Elk Creek,H07,MS,H07050007,Red Cedar,44.81843538,-91.87926357,Upper Mississippi Region,H07,Not Major River,NotMajorRiver,Upper Mississippi Region,H07,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.1,MIXED WOOD PLAINS,Little Elk Creek,Non Federal,NRS_NO_NO_13_18,NRS_NO_NO_13_18,NRS18_13TS2_BaseSS,NRS18_13_TSS,WI_SmallStreams_UMW,WI,R07050007001379,None,PROB,NHDPlusV1,Wisconsin,Include,F55033,2,SmallStreams,2,WI,Target,Non-Urban,Non-Urban,52,Driftless Area,52b,Blufflands and Coulees,Not_Forest_Service,WI_SS_UMW_Include,5140.765,1398.582509,325254.2,825778.8,1605.779918
2012500,7/8/2021,NRS18_NC_10014,7/19/2018,1,2018,NRS_NC-10122,2018-19,EHIGH,Eastern Highlands,SAP,Southern Appalachians,Not_Border,Watauga,19743320,StreamRiverPer,794.2,Region_04,Target_Sampled,46006,Federal,152,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1009082,Beaverdam Creek,H06,MS,H06010103,"Watauga, North Carolina, Tennessee",36.27389536,-81.87095586,Ohio-Tennessee Region,H05_06,Not Major River,NotMajorRiver,Ohio-Tennessee Region,H06,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,Beaverdam Creek,Non Federal,NRS_NO_NO_13_18,NRS_NO_NO_13_18,NRS18_13TS2_BaseLS,NRS18_13_TSS,NC_LargeStreams_SAP,NC,R06010103000291,None,PROB,NHDPlusV1,North Carolina,Include,F37189,3,LargeStreams,3,NC,Target,Non-Urban,Non-Urban,66,Blue Ridge,66d,Southern Crystalline Ridges and Mountains,Not_Forest_Service,NC_LS_SAP_Include,4866.839,144.9488874,1253090,-44050.71,1203.075765
2012501,7/8/2021,NRS18_OK_10023,7/23/2018,1,2018,NRS_OK-10107,2018-19,EHIGH,Eastern Highlands,SAP,Southern Appalachians,Not_Border,Le Flore,6039720,StreamRiverPer,129.95,Region_06,Target_Sampled,46006,Federal,146,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1101307,Brazil Creek,H11,MS,H11110105,Poteau,35.1481488,-94.70189843,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,Brazil Creek,Non Federal,NRS_NO_NO_13_18,NRS_NO_NO_13_18,NRS18_13NR_TFO_LS_Base,NRS18_13_TSS,OK_TFO_LS,OK,R11110105000021,None,PROB,NHDPlusV1,Oklahoma,Include,F40079,5,RiversOther,5,OK,Target,Non-Urban,Non-Urban,37,Arkansas Valley,37d,Arkansas Valley Plains,Not_Forest_Service,OK_RV_SAP_Include,316.562,57.16025031,117270.4,-262607.6,69.86252816
2012502,7/8/2021,NRS18_OK_10029,7/24/2018,1,2018,NRS_OK-10064,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,OK:TX,Choctaw,8348895,ArtificialPathStreamPer,120.15,Region_06,Target_Sampled,55800,Federal,145,Include,Include,Include,Exclude,Exclude,Not_USFS,ArtificialPath,558728,Red River,H11,MS,H11140101,Bois D'arc-Island,33.91221633,-95.54936002,Arkansas-White-Red Region,H11,Red River,MajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Red River,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_13NR_TFO_RM_Base,NRS18_13_TSS,OK_TFO_RM,OK,R11140101000007,None,PROB,NHDPlusV1,Oklahoma,Include,F40023,7,RiversMajor,7,OK,Target,Non-Urban,Non-Urban,35,South Central Plains,35g,Red River Bottomlands,Not_Forest_Service,OK_RV_CPL_Include,218.2565004,113.3523652,41367.28,-401521.7,144.2666467
2012503,7/8/2021,NRS18_OK_10018,8/28/2018,1,2018,NRS_OK-10155,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Osage,21785266,StreamRiverPer,266.59,Region_06,Target_Sampled,46006,Federal,146,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1091100,Cedar Creek,H11,MS,H11070106,Caney,36.76012251,-96.2895561,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Cedar Creek,Tribal Land,NRS_NO_NO_13_18,NRS_NO_NO_13_18,NRS18_13NR_FPF_SS_Base,NRS18_13_TSS,OK_FPF_SS,OK,R11070106000548,None,PROB,NHDPlusV1,Oklahoma,Include,F40113,1,SmallStreams,1,OK,Target,Non-Urban,Non-Urban,29,Cross Timbers,29a,Northern Cross Timbers,Not_Forest_Service,OK_SS_SPL_Include,722.9542,285.9144998,-25609.28,-82867.6,476.5241663
2012504,7/8/2021,NRS18_OK_10022,9/4/2018,2,2018,NRS_OK-10102,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,Not_Border,McCurtain,616754,ArtificialPathStreamPer,113.33,Region_06,Target_Sampled,55800,Federal,145,Include,Include,Include,Exclude,Include,Not_USFS,ArtificialPath,1093213,Glover River,H11,MS,H11140107,Upper Little,34.06699129,-94.90528581,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.3,SOUTHEASTERN USA PLAINS,Glover River,Non Federal,NRS_NO_NO_13_18,NRS_NO_NO_13_18,NRS18_13TS2R2_TFO_LS_Base,NRS18_13_TSS,OK_TFO_LS,OK,R11140107000062,None,PROB,NHDPlusV1,Oklahoma,Include,F40089,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,35,South Central Plains,35d,Cretaceous Dissected Uplands,Not_Forest_Service,OK_LS_CPL_Include_18,316.562,96.97299706,100290.1,-383745,96.97299706
2012505,7/8/2021,NRS18_DE_10002,9/5/2018,1,2018,NRS_DE-10009,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,Not_Border,New Castle,4652178,ArtificialPathStreamPer,1.2,Region_03,Target_Sampled,55800,Federal,118,Include,Include,Include,Exclude,Include,Not_USFS,ArtificialPath,214832,White Clay Creek,H02,MA,H02040205,Brandywine-Christina,39.70012709,-75.63338589,Mid-Atlantic Region,H02,Not Major River,NotMajorRiver,Not Miss River Basin,NMRB,Not_Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,White Clay Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_BaseRiver,NRS18_08_TSS,DE_Rivers_DE_7th+,DE,R02040205000105,None,PROB,NHDPlusV1,Delaware,Include,F10003,5,RiversOther,5,DE,Target,Urban,Urban,63,Middle Atlantic Coastal Plain,63f,Delmarva Uplands,Not_Forest_Service,DE_RV_CPL_Include_18,12.97257827,30.12072207,1717460.075,431331.818,33.13279427
2012506,7/8/2021,NRS18_OK_10003,9/10/2018,1,2018,NRS_OK-10091,2018-19,PLNLOW,Plains and Lowlands,SPL,Southern Plains,Not_Border,Creek,372489,StreamRiverPer,234.91,Region_06,Target_Sampled,46006,Federal,146,Include,Include,Include,Exclude,Include,Not_USFS,StreamRiver,1096804,Polecat Creek,H11,MS,H11110101,Polecat-Snake,35.96545316,-96.36807127,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,9,GREAT PLAINS,9.4,SOUTH CENTRAL SEMI-ARID PRAIRIES,Polecat Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_13NR_FPF_LS_Base,NRS18_13_TSS,OK_FPF_LS,OK,R11110101000131,None,PROB,NHDPlusV1,Oklahoma,Include,F40037,4,LargeStreams,4,OK,Target,Non-Urban,Non-Urban,29,Cross Timbers,29a,Northern Cross Timbers,Not_Forest_Service,OK_LS_SPL_Include,791.135146,224.0798512,-32898.13,-171853.6,280.099814
2012507,7/8/2021,NRS18_OK_10830,9/11/2018,1,2018,NRS_OK-10212,2018-19,EHIGH,Eastern Highlands,SAP,Southern Appalachians,Not_Border,McCurtain,629821,StreamRiverPer,206.06,Region_06,Target_Sampled,46006,Federal,145,Include,Include,Include,Include,Include,Not_USFS,StreamRiver,1101284,Big Eagle Creek,H11,MS,H11140108,Mountain Fork,34.45096028,-94.68104222,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,Big Eagle Creek,Non Federal,NRS_NO_NO_NO_18,NRS_NO_NO_NO_18,NRS18_18_TFO_RO_Over,NRS18_18,OK_TFO_RO,OK,R11140108000121,None,PROB,NHDPlusv2,Oklahoma,Include,F40089,5,RiversOther,5,OK,Target,Non-Urban,Non-Urban,36,Ouachita Mountains,36a,Athens Plateau,Not_Forest_Service,OK_RV_SAP_Include,231.2190707,57.16025031,120236.7929,-340562.892,69.86252816
2012508,7/8/2021,NRS18_OK_10034,9/12/2018,1,2018,NRS_OK-10056,2018-19,EHIGH,Eastern Highlands,SAP,Southern Appalachians,Not_Border,Pushmataha,590048,StreamRiverInt,178.28,Region_06,Target_Sampled,46003,Federal,145,Include,Exclude,Include,Exclude,Exclude,Not_USFS,StreamRiver,0,None,H11,MS,H11140105,Kiamichi,34.63573085,-95.1215903,Arkansas-White-Red Region,H11,Not Major River,NotMajorRiver,Arkansas-White-Red Region,H11,Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,None,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_13NR_TFO_RO_Base,NRS18_13_TSS,OK_TFO_RO,OK,R11140105001434,None,PROB,NHDPlusV1,Oklahoma,Include,F40127,0,RiversOther,5,OK,Target,Non-Urban,Non-Urban,36,Ouachita Mountains,36f,Western Ouachita Valleys,Not_Forest_Service,OK_RV_SAP_Include,332.7897545,57.16025031,79886.67,-320365,69.86252816
2012509,7/8/2021,NRS18_DE_10002,9/19/2018,2,2018,NRS_DE-10009,2018-19,PLNLOW,Plains and Lowlands,CPL,Coastal Plains,Not_Border,New Castle,4652178,ArtificialPathStreamPer,1.2,Region_03,Target_Sampled,55800,Federal,118,Include,Include,Include,Exclude,Include,Not_USFS,ArtificialPath,214832,White Clay Creek,H02,MA,H02040205,Brandywine-Christina,39.70012709,-75.63338589,Mid-Atlantic Region,H02,Not Major River,NotMajorRiver,Not Miss River Basin,NMRB,Not_Mississippi_Basin,8,EASTERN TEMPERATE FORESTS,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,White Clay Creek,Non Federal,NRS_NO_08_13_18,NRS_NO_08_13_18,NRS18_08TS3R2_BaseRiver,NRS18_08_TSS,DE_Rivers_DE_7th+,DE,R02040205000105,None,PROB,NHDPlusV1,Delaware,Include,F10003,5,RiversOther,5,DE,Target,Urban,Urban,63,Middle Atlantic Coastal Plain,63f,Delmarva Uplands,Not_Forest_Service,DE_RV_CPL_Include_18,12.97257827,30.12072207,1717460.075,431331.818,33.13279427
