"","SITE_ID","VISIT_ID","DATE_COL","NTL_PPM","PTL_PPB","VISIT_NO","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","ECO_REG","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PTL_COND","NTL_COND","CHLA_COND","tn.tp","TN_mol","TP_mol"
"11","NLA06608-0006",7478,"8/30/2007",0.226,5,2,"PROB_Lake",-73.1465177,41.68314624,"Region_1",19.57749882,"YES","NAP","MAN-MADE",56.19974819,198.75,1100005,"NLA_CT-10001","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",99.9510275083601,1.61347897479832e-05,1.61426952280542e-07
"12","NLA06608-0007",7479,"7/24/2007",0.493,8,1,"PROB_Lake",-92.04001797,45.58064546,"Region_5",159.855637,"NO","UMW","NATURAL",25.4747633,390.86,7050007,"NLA_WI-10005","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",136.271727216874,3.51966873706004e-05,2.58283123648867e-07
"13","NLA06608-0007",7480,"9/6/2007",0.523,7,2,"PROB_Lake",-92.04001797,45.58064546,"Region_5",159.855637,"NO","UMW","NATURAL",25.4747633,390.86,7050007,"NLA_WI-10005","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",165.216142183541,3.73384736203327e-05,2.25997733192758e-07
"14","NLA06608-0008",7481,"7/12/2007",0.801,66,1,"PROB_Lake",-93.59040488,41.29211104,"Region_7",3.396573599,"NO","TPL","MAN-MADE",48.7370362,261.56,7100008,"NLA_IA-10003","3: EUTROPHIC (>25-50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","4: HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",26.8372127360541,5.71856928678518e-05,2.13083577010315e-06
"15","NLA06608-0008",7482,"8/22/2007",1.525,79,2,"PROB_Lake",-93.59040488,41.29211104,"Region_7",3.396573599,"NO","TPL","MAN-MADE",48.7370362,261.56,7100008,"NLA_IA-10003","3: EUTROPHIC (>25-50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","4: HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",42.6866015879492,0.000108874134361391,2.55054584603256e-06
"16","NLA06608-0010",7483,"7/17/2007",0.473,10,1,"PROB_Lake",-83.50588771,42.61823014,"Region_5",81.58117426,"YES","UMW","NATURAL",30.03733238,284.65,4090005,"NLA_MI-10005","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",104.594769936846,3.37688298707789e-05,3.22853904561083e-07
"17","NLA06608-0010",7484,"8/18/2007",0.517,10,2,"PROB_Lake",-83.50588771,42.61823014,"Region_5",81.58117426,"YES","UMW","NATURAL",30.03733238,284.65,4090005,"NLA_MI-10005","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",114.324515977483,3.69101163703862e-05,3.22853904561083e-07
"18","NLA06608-0012",7485,"6/13/2007",1.026,159,1,"PROB_Lake",-96.87178731,35.99078823,"Region_6",3.451225091,"NO","SPL","MAN-MADE",177.6575126,255.6,11050003,"NLA_OK-10001","4: HYPEREUTROPHIC (>50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","2: MESOTROPHIC (>2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",14.2691815861827,7.32490897408439e-05,5.13337708252122e-06
"19","NLA06608-0012",7486,"9/18/2007",1.052,142,2,"PROB_Lake",-96.87178731,35.99078823,"Region_6",3.451225091,"NO","SPL","MAN-MADE",177.6575126,255.6,11050003,"NLA_OK-10001","4: HYPEREUTROPHIC (>50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",16.382350887884,7.51053044906118e-05,4.58452544476738e-06
"20","NLA06608-0013",7487,"9/4/2007",0.384,28,1,"PROB_Lake",-74.56255123,39.97428032,"Region_2",147.9090567,"YES","CPL","MAN-MADE",37.14025576,15.44,2040202,"NLA_NJ-10001","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",30.3264811656213,2.74148639965731e-05,9.03990932771033e-07
"21","NLA06608-0013",7488,"9/14/2007",0.2485,20,2,"PROB_Lake",-74.56255123,39.97428032,"Region_2",147.9090567,"YES","CPL","MAN-MADE",37.14025576,15.44,2040202,"NLA_NJ-10001","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",27.4754760352074,1.77411294352824e-05,6.45707809122167e-07
"22","NLA06608-0014",7489,"8/6/2007",4.147,175,1,"PROB_Lake",-100.5756807,47.83492738,"Region_8",324.9301387,"NO","TPL","NATURAL",12.80952857,498.4,9010003,"NLA_ND-10001","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED","1:LEAST DISTURBED",52.4016322474298,0.000296066252587992,5.64994332981896e-06
"23","NLA06608-0014",7490,"8/23/2007",4.3905,168,2,"PROB_Lake",-100.5756807,47.83492738,"Region_8",324.9301387,"NO","TPL","NATURAL",12.80952857,498.4,9010003,"NLA_ND-10001","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED","1:LEAST DISTURBED",57.7901109191233,0.000313450417648319,5.4239455966262e-06
"24","NLA06608-0015",7491,"7/10/2007",0.47,109,1,"PROB_Lake",-107.2747938,33.0071076,"Region_6",6.92095662,"YES","XER","MAN-MADE",173.9929805,1275.36,13030101,"NLA_NM-10001","4: HYPEREUTROPHIC (>50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",9.53498882214201,3.35546512458057e-05,3.51910755971581e-06
"25","NLA06608-0015",7492,"8/29/2007",0.4385,99,2,"PROB_Lake",-107.2747938,33.0071076,"Region_6",6.92095662,"YES","XER","MAN-MADE",173.9929805,1275.36,13030101,"NLA_NM-10001","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",9.7945216685474,3.13057756835868e-05,3.19625365515472e-06
"26","NLA06608-0016",7493,"6/27/2007",0.49,6,1,"PROB_Lake",-100.7797567,41.03025217,"Region_7",4.160811284,"YES","SPL","MAN-MADE",641.0233086,916,10190018,"NLA_NE-10010","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",180.589983330002,3.49825087456272e-05,1.9371234273665e-07
"27","NLA06608-0016",7494,"7/11/2007",0.6945,39,2,"PROB_Lake",-100.7797567,41.03025217,"Region_7",4.160811284,"YES","SPL","MAN-MADE",641.0233086,916,10190018,"NLA_NE-10010","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE",39.3782553917382,4.95823516813022e-05,1.25913022778822e-06
"28","NLA06608-0019",7496,"6/11/2007",7.047,801,1,"PROB_Lake",-99.51185877,46.36688788,"Region_8",21.96428238,"NO","NPL","NATURAL",103.3135279,600.25,10130104,"NLA_ND-10002","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","2: MESOTROPHIC (>2-7 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","1:LEAST DISTURBED",19.4545228544909,0.000503105590062112,2.58605977553428e-05
"29","NLA06608-0019",7497,"8/7/2007",6.0905,1395,2,"PROB_Lake",-99.51185877,46.36688788,"Region_8",21.96428238,"NO","NPL","NATURAL",103.3135279,600.25,10130104,"NLA_ND-10002","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","4: HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","1:LEAST DISTURBED",9.65445067782642,0.000434818305133148,4.50381196862711e-05
"30","NLA06608-0020",7498,"6/11/2007",0.605,30,1,"PROB_Lake",-87.81380832,39.40817838,"Region_5",20.33534178,"NO","TPL","MAN-MADE",296.2001459,184.92,5120111,"NLA_IL-10001","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",44.5946693529188,4.31926893696009e-05,9.6856171368325e-07
"31","NLA06608-0020",7499,"7/2/2007",0.455,20,2,"PROB_Lake",-87.81380832,39.40817838,"Region_5",20.33534178,"NO","TPL","MAN-MADE",296.2001459,184.92,5120111,"NLA_IL-10001","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",50.307209641929,3.24837581209395e-05,6.45707809122167e-07
"32","NLA06608-0021",7500,"7/27/2007",0.39,7,1,"PROB_Lake",-77.3095481,42.77191973,"Region_2",8.418311244,"YES","NAP","NATURAL",4226.925272,209.55,4140201,"NLA_NY-10002","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",123.201329735336,2.78432212465196e-05,2.25997733192758e-07
"33","NLA06608-0021",7501,"8/30/2007",0.463,11,2,"PROB_Lake",-77.3095481,42.77191973,"Region_2",8.418311244,"YES","NAP","NATURAL",4226.925272,209.55,4140201,"NLA_NY-10002","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",93.0758763804721,3.30549011208681e-05,3.55139295017192e-07
"34","NLA06608-0023",7502,"8/9/2007",0.349,12,1,"PROB_Lake",-97.745332,31.14849172,"Region_6",210.5049403,"YES","SPL","MAN-MADE",6.20722172,265.85,12070202,"NLA_TX-10011","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",64.3121471246639,2.49161133718855e-05,3.874246854733e-07
"35","NLA06608-0023",7503,"9/19/2007",0.562,24,2,"PROB_Lake",-97.745332,31.14849172,"Region_6",210.5049403,"YES","SPL","MAN-MADE",6.20722172,265.85,12070202,"NLA_TX-10011","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",51.7814135874801,4.01227957449847e-05,7.748493709466e-07
"36","NLA06608-0024",7504,"7/11/2007",0.86,35,1,"PROB_Lake",-95.48843409,32.1220497,"Region_6",2.186087249,"YES","CPL","MAN-MADE",9530.145112,105.13,12020001,"NLA_TX-10012","3: EUTROPHIC (>25-50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","4: HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE",54.3349454217381,6.13978724923253e-05,1.12998866596379e-06
"37","NLA06608-0024",7505,"8/14/2007",0.943,29,2,"PROB_Lake",-95.48843409,32.1220497,"Region_6",2.186087249,"YES","CPL","MAN-MADE",9530.145112,105.13,12020001,"NLA_TX-10012","3: EUTROPHIC (>25-50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",71.905568309722,6.73234811165846e-05,9.36276323227142e-07
"38","NLA06608-0025",7506,"6/18/2007",0.195,10,1,"PROB_Lake",-81.34573084,35.20132137,"Region_4",47.41940135,"YES","SAP","MAN-MADE",11.48123514,245.48,3050105,"NLA_NC-10001","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",43.1204654073677,1.39216106232598e-05,3.22853904561083e-07
"39","NLA06608-0025",7507,"7/18/2007",0.093,4.5,2,"PROB_Lake",-81.34573084,35.20132137,"Region_4",47.41940135,"YES","SAP","MAN-MADE",11.48123514,245.48,3050105,"NLA_NC-10001","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.7003223120821,6.63953737417006e-06,1.45284257052487e-07
"40","NLA06608-0029",7508,"7/2/2007",2.106,247,1,"PROB_Lake",-75.21503793,38.75601051,"Region_3",4.357499828,"YES","CPL","MAN-MADE",73.10037419,1.87,2040207,"NLA_DE-10001","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","4: HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",18.8542925667843,0.000150353394731206,7.97449144265876e-06
"41","NLA06608-0029",7509,"9/11/2007",2.189,159.5,2,"PROB_Lake",-75.21503793,38.75601051,"Region_3",4.357499828,"YES","CPL","MAN-MADE",73.10037419,1.87,2040207,"NLA_DE-10001","4: HYPEREUTROPHIC (>50 ug/L)","4: HYPEREUTROPHIC (> 1.4 ug/L)","4: HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",30.3482674308265,0.000156279003355465,5.14951977774928e-06
"42","NLA06608-0031",7510,"6/13/2007",0.428,32,1,"PROB_Lake",-81.51745185,39.77645357,"Region_5",28.82219287,"YES","SAP","MAN-MADE",24.24953577,241.93,5030201,"NLA_OH-10003","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",29.5762166576176,3.05561504961805e-05,1.03313249459547e-06
"43","NLA06608-0031",7511,"9/5/2007",0.394,24,2,"PROB_Lake",-81.51745185,39.77645357,"Region_5",28.82219287,"YES","SAP","MAN-MADE",24.24953577,241.93,5030201,"NLA_OH-10003","2: MESOTROPHIC (>10-25 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","3: EUTROPHIC (>7 to 30 mg/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE",36.3022721591942,2.81287927464839e-05,7.748493709466e-07
"44","NLA06608-0033",7512,"7/17/2007",0.835,67,1,"PROB_Lake",-121.2990598,47.31108363,"Region_10",32.54937288,"NO","WMT","NATURAL",15.16448355,732.43,17030001,"NLA_WA-10005","3: EUTROPHIC (>25-50 ug/L)","3: EUTROPHIC (>0.75 to 1.4 mg/","3: EUTROPHIC (>7 to 30 mg/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",27.558812564219,5.96130506175484e-05,2.16312116055926e-06
"45","NLA06608-0033",7513,"8/28/2007",0.4395,33,2,"PROB_Lake",-121.2990598,47.31108363,"Region_10",32.54937288,"NO","WMT","NATURAL",15.16448355,732.43,17030001,"NLA_WA-10005","3: EUTROPHIC (>25-50 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","2: MESOTROPHIC (>2-7 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","3:MOST DISTURBED",29.4505742758945,3.13771685585779e-05,1.06541788505157e-06
"46","NLA06608-0036",7514,"7/12/2007",0.178,8,1,"PROB_Lake",-88.32737922,37.47735404,"Region_5",75.72375178,"NO","TPL","MAN-MADE",12.02760537,113.39,5140203,"NLA_IL-10003","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",49.2015566827658,1.27079317484115e-05,2.58283123648867e-07
"47","NLA06608-0036",7515,"7/16/2007",0.2945,9,2,"PROB_Lake",-88.32737922,37.47735404,"Region_5",75.72375178,"NO","TPL","MAN-MADE",12.02760537,113.39,5140203,"NLA_IL-10003","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",72.3588436607966,2.10252016848718e-05,2.90568514104975e-07
"48","NLA06608-0037",7516,"7/13/2007",0.239,14,1,"PROB_Lake",-73.36398551,41.69699293,"Region_1",21.55717344,"YES","NAP","NATURAL",236.955581,211.27,1100005,"NLA_CT-10002","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","3: EUTROPHIC (>7 to 30 mg/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",37.750151034289,1.70628971228671e-05,4.51995466385517e-07
"49","NLA06608-0037",7517,"9/5/2007",0.3195,12.5,2,"PROB_Lake",-73.36398551,41.69699293,"Region_1",21.55717344,"YES","NAP","NATURAL",236.955581,211.27,1100005,"NLA_CT-10002","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",56.5209792724266,2.28100235596487e-05,4.03567380701354e-07
"50","NLA06608-0038",7518,"7/12/2007",0.158,4,1,"PROB_Lake",-71.86971736,44.79759122,"Region_1",35.04559536,"NO","NAP","NATURAL",220.6478779,358.73,1110000,"NLA_VT-10004","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",87.3465837738988,1.128007424859e-05,1.29141561824433e-07
"51","NLA06608-0038",7519,"8/27/2007",0.107,3,2,"PROB_Lake",-71.86971736,44.79759122,"Region_1",35.04559536,"NO","NAP","NATURAL",220.6478779,358.73,1110000,"NLA_VT-10004","1: OLIGOTROPHIC (<= 10 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",78.8699110869803,7.63903762404512e-06,9.6856171368325e-08
"52","NLA06608-0041",7520,"6/12/2007",0.476,1,1,"PROB_Lake",-80.85405519,38.22694093,"Region_3",23.89950044,"YES","SAP","MAN-MADE",1071.509332,501.84,5050005,"NLA_WV-10003","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",1052.58161712344,3.39830084957521e-05,3.22853904561083e-08
"53","NLA06608-0041",7521,"7/11/2007",0.385,1,2,"PROB_Lake",-80.85405519,38.22694093,"Region_3",23.89950044,"YES","SAP","MAN-MADE",1071.509332,501.84,5050005,"NLA_WV-10003","1: OLIGOTROPHIC (<= 10 ug/L)","2: MESOTROPHIC (>0.35-0.75 mg/","1: OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",851.352778555722,2.74862568715642e-05,3.22853904561083e-08
"54","NLA06608-0042",7522,"6/22/2007",0.2295,16,1,"PROB_Lake",-107.0403753,44.45823517,"Region_8",9.832508096,"NO","WMT","MAN-MADE",77.7184868,2626,10090206,"NLA_WY-10002","2: MESOTROPHIC (>10-25 ug/L)","1: OLIGOTROPHIC (<= 0.35 mg/L)","2: MESOTROPHIC (>2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",31.7184192659965,1.63846648104519e-05,5.16566247297733e-07
