"","SITE_ID","VISIT_ID","DATE_COL","NH4N_PPM","NO3N_PPM","NTL_PPM","PTL_PPB","CHLA_PPB","DOC_PPM","DIN_PPM","VISIT_NO","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","ECO_REG","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PTL_COND","NTL_COND","CHLA_COND","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME"
"11","NLA06608-0006",7478,2007-08-30,0.0055,0.0025,0.226,5,2.988,2.96,0.008,2,"PROB_Lake",-73.1465177,41.68314624,"Region_1",19.57749882,"YES","NAP","MAN-MADE",56.19974819,198.75,1100005,"NLA_CT-10001","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",99.9510275083601,1.61347897479832e-05,3.92660812450917e-07,1.7848218747769e-07,1.61426952280542e-07,0.000246461282264779,5.71142999928607e-07,"Northern Appalachians"
"12","NLA06608-0007",7479,2007-07-24,0.013,0.005,0.493,8,2.432,6.68,0.018,1,"PROB_Lake",-92.04001797,45.58064546,"Region_5",159.855637,"NO","UMW","NATURAL",25.4747633,390.86,7050007,"NLA_WI-10005","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",136.271727216874,3.51966873706004e-05,9.28107374883987e-07,3.56964374955379e-07,2.58283123648867e-07,0.000556203164029975,1.28507174983937e-06,"Upper Midwest"
"13","NLA06608-0007",7480,2007-09-06,0.011,0.005,0.523,7,4.088,6.52,0.016,2,"PROB_Lake",-92.04001797,45.58064546,"Region_5",159.855637,"NO","UMW","NATURAL",25.4747633,390.86,7050007,"NLA_WI-10005","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",165.216142183541,3.73384736203327e-05,7.85321624901835e-07,3.56964374955379e-07,2.25997733192758e-07,0.000542880932556203,1.14228599985721e-06,"Upper Midwest"
"14","NLA06608-0008",7481,2007-07-12,0.024,0.005,0.801,66,30.24,7.6,0.029,1,"PROB_Lake",-93.59040488,41.29211104,"Region_7",3.396573599,"NO","TPL","MAN-MADE",48.7370362,261.56,7100008,"NLA_IA-10003","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",26.8372127360541,5.71856928678518e-05,1.71342899978582e-06,3.56964374955379e-07,2.13083577010315e-06,0.000632805995004163,2.0703933747412e-06,"Temperate Plains"
"15","NLA06608-0008",7482,2007-08-22,0.014,0.005,1.525,79,148.2,7.13,0.019,2,"PROB_Lake",-93.59040488,41.29211104,"Region_7",3.396573599,"NO","TPL","MAN-MADE",48.7370362,261.56,7100008,"NLA_IA-10003","EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",42.6866015879492,0.000108874134361391,9.99500249875062e-07,3.56964374955379e-07,2.55054584603256e-06,0.000593671940049958,1.35646462483044e-06,"Temperate Plains"
"16","NLA06608-0010",7483,2007-07-17,0.017,0.005,0.473,10,4.384,4.94,0.022,1,"PROB_Lake",-83.50588771,42.61823014,"Region_5",81.58117426,"YES","UMW","NATURAL",30.03733238,284.65,4090005,"NLA_MI-10005","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",104.594769936846,3.37688298707789e-05,1.21367887484829e-06,3.56964374955379e-07,3.22853904561083e-07,0.000411323896752706,1.57064324980367e-06,"Upper Midwest"
"17","NLA06608-0010",7484,2007-08-18,0.0065,0.0025,0.517,10,3.324,4.545,0.009,2,"PROB_Lake",-83.50588771,42.61823014,"Region_5",81.58117426,"YES","UMW","NATURAL",30.03733238,284.65,4090005,"NLA_MI-10005","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",114.324515977483,3.69101163703862e-05,4.64053687441993e-07,1.7848218747769e-07,3.22853904561083e-07,0.000378434637801832,6.42535874919683e-07,"Upper Midwest"
"18","NLA06608-0012",7485,2007-06-13,0.078,0.29,1.026,159,4.9,8.01,0.368,1,"PROB_Lake",-96.87178731,35.99078823,"Region_6",3.451225091,"NO","SPL","MAN-MADE",177.6575126,255.6,11050003,"NLA_OK-10001","HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","MESOTROPHIC (2-7 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",14.2691815861827,7.32490897408439e-05,5.56864424930392e-06,2.0703933747412e-05,5.13337708252122e-06,0.000666944213155704,2.62725779967159e-05,"Southern Plains"
"19","NLA06608-0012",7486,2007-09-18,0.016,0.155,1.052,142,21.28,6.14,0.171,2,"PROB_Lake",-96.87178731,35.99078823,"Region_6",3.451225091,"NO","SPL","MAN-MADE",177.6575126,255.6,11050003,"NLA_OK-10001","HYPEREUTROPHIC (> 100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",16.382350887884,7.51053044906118e-05,1.14228599985721e-06,1.10658956236168e-05,4.58452544476738e-06,0.000511240632805995,1.2208181623474e-05,"Southern Plains"
"20","NLA06608-0013",7487,2007-09-04,0.01,0.005,0.384,28,16.027,4.79,0.015,1,"PROB_Lake",-74.56255123,39.97428032,"Region_2",147.9090567,"YES","CPL","MAN-MADE",37.14025576,15.44,2040202,"NLA_NJ-10001","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","1:LEAST DISTURBED",30.3264811656213,2.74148639965731e-05,7.13928749910759e-07,3.56964374955379e-07,9.03990932771033e-07,0.000398834304746045,1.07089312486614e-06,"Coastal Plains"
"21","NLA06608-0013",7488,2007-09-14,0.011,0.008,0.2485,20,8.912,4.35,0.019,2,"PROB_Lake",-74.56255123,39.97428032,"Region_2",147.9090567,"YES","CPL","MAN-MADE",37.14025576,15.44,2040202,"NLA_NJ-10001","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",27.4754760352074,1.77411294352824e-05,7.85321624901835e-07,5.71142999928607e-07,6.45707809122167e-07,0.000362198168193172,1.35646462483044e-06,"Coastal Plains"
"22","NLA06608-0014",7489,2007-08-06,0.036,0.005,4.147,175,8.748,41.27,0.041,1,"PROB_Lake",-100.5756807,47.83492738,"Region_8",324.9301387,"NO","TPL","NATURAL",12.80952857,498.4,9010003,"NLA_ND-10001","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED","1:LEAST DISTURBED",52.4016322474298,0.000296066252587992,2.57014349967873e-06,3.56964374955379e-07,5.64994332981896e-06,0.00343630308076603,2.92710787463411e-06,"Temperate Plains"
"23","NLA06608-0014",7490,2007-08-23,0.039,0.25,4.3905,168,22.5,40.705,0.289,2,"PROB_Lake",-100.5756807,47.83492738,"Region_8",324.9301387,"NO","TPL","NATURAL",12.80952857,498.4,9010003,"NLA_ND-10001","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED","1:LEAST DISTURBED",57.7901109191233,0.000313450417648319,2.78432212465196e-06,1.7848218747769e-05,5.4239455966262e-06,0.00338925895087427,2.06325408724209e-05,"Temperate Plains"
"24","NLA06608-0015",7491,2007-07-10,0.016,0.005,0.47,109,20,3.78,0.021,1,"PROB_Lake",-107.2747938,33.0071076,"Region_6",6.92095662,"YES","XER","MAN-MADE",173.9929805,1275.36,13030101,"NLA_NM-10001","HYPEREUTROPHIC (> 100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",9.53498882214201,3.35546512458057e-05,1.14228599985721e-06,3.56964374955379e-07,3.51910755971581e-06,0.00031473771856786,1.49925037481259e-06,"Xeric"
"25","NLA06608-0015",7492,2007-08-29,0.006,0.0025,0.4385,99,13.856,3.725,0.0085,2,"PROB_Lake",-107.2747938,33.0071076,"Region_6",6.92095662,"YES","XER","MAN-MADE",173.9929805,1275.36,13030101,"NLA_NM-10001","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE",9.7945216685474,3.13057756835868e-05,4.28357249946455e-07,1.7848218747769e-07,3.19625365515472e-06,0.000310158201498751,6.06839437424145e-07,"Xeric"
"26","NLA06608-0016",7493,2007-06-27,0.081,0.067,0.49,6,13,4.69,0.148,1,"PROB_Lake",-100.7797567,41.03025217,"Region_7",4.160811284,"YES","SPL","MAN-MADE",641.0233086,916,10190018,"NLA_NE-10010","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",180.589983330002,3.49825087456272e-05,5.78282287427715e-06,4.78332262440209e-06,1.9371234273665e-07,0.000390507910074938,1.05661454986792e-05,"Southern Plains"
"27","NLA06608-0016",7494,2007-07-11,0.0325,0.0775,0.6945,39,16.64,4.51,0.11,2,"PROB_Lake",-100.7797567,41.03025217,"Region_7",4.160811284,"YES","SPL","MAN-MADE",641.0233086,916,10190018,"NLA_NE-10010","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE",39.3782553917382,4.95823516813022e-05,2.32026843720997e-06,5.53294781180838e-06,1.25913022778822e-06,0.000375520399666944,7.85321624901835e-06,"Southern Plains"
"28","NLA06608-0019",7496,2007-06-11,1.709,0.819,7.047,801,4.032,44.99,2.528,1,"PROB_Lake",-99.51185877,46.36688788,"Region_8",21.96428238,"NO","NPL","NATURAL",103.3135279,600.25,10130104,"NLA_ND-10002","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","MESOTROPHIC (2-7 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","1:LEAST DISTURBED",19.4545228544909,0.000503105590062112,0.000122010423359749,5.84707646176912e-05,2.58605977553428e-05,0.00374604496253122,0.00018048118797744,"Northern Plains"
"29","NLA06608-0019",7497,2007-08-07,0.087,0.0025,6.0905,1395,45.072,50.135,0.0895,2,"PROB_Lake",-99.51185877,46.36688788,"Region_8",21.96428238,"NO","NPL","NATURAL",103.3135279,600.25,10130104,"NLA_ND-10002","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","3:MOST DISTURBED","1:LEAST DISTURBED",9.65445067782642,0.000434818305133148,6.2111801242236e-06,1.7848218747769e-07,4.50381196862711e-05,0.0041744379683597,6.38966231170129e-06,"Northern Plains"
"30","NLA06608-0020",7498,2007-06-11,0.016,0.005,0.605,30,20.24,5.03,0.021,1,"PROB_Lake",-87.81380832,39.40817838,"Region_5",20.33534178,"NO","TPL","MAN-MADE",296.2001459,184.92,5120111,"NLA_IL-10001","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",44.5946693529188,4.31926893696009e-05,1.14228599985721e-06,3.56964374955379e-07,9.6856171368325e-07,0.000418817651956703,1.49925037481259e-06,"Temperate Plains"
"31","NLA06608-0020",7499,2007-07-02,0.0165,0.0025,0.455,20,13.143,4.695,0.019,2,"PROB_Lake",-87.81380832,39.40817838,"Region_5",20.33534178,"NO","TPL","MAN-MADE",296.2001459,184.92,5120111,"NLA_IL-10001","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",50.307209641929,3.24837581209395e-05,1.17798243735275e-06,1.7848218747769e-07,6.45707809122167e-07,0.000390924229808493,1.35646462483044e-06,"Temperate Plains"
"32","NLA06608-0021",7500,2007-07-27,0.012,0.219,0.39,7,2.292,2.92,0.231,1,"PROB_Lake",-77.3095481,42.77191973,"Region_2",8.418311244,"YES","NAP","NATURAL",4226.925272,209.55,4140201,"NLA_NY-10002","OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",123.201329735336,2.78432212465196e-05,8.56714499892911e-07,1.56350396230456e-05,2.25997733192758e-07,0.000243130724396336,1.64917541229385e-05,"Northern Appalachians"
"33","NLA06608-0021",7501,2007-08-30,0.005,0.072,0.463,11,3.952,2.7,0.077,2,"PROB_Lake",-77.3095481,42.77191973,"Region_2",8.418311244,"YES","NAP","NATURAL",4226.925272,209.55,4140201,"NLA_NY-10002","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",93.0758763804721,3.30549011208681e-05,3.56964374955379e-07,5.14028699935746e-06,3.55139295017192e-07,0.0002248126561199,5.49725137431284e-06,"Northern Appalachians"
"34","NLA06608-0023",7502,2007-08-09,0.005,0.005,0.349,12,2.776,3.88,0.01,1,"PROB_Lake",-97.745332,31.14849172,"Region_6",210.5049403,"YES","SPL","MAN-MADE",6.20722172,265.85,12070202,"NLA_TX-10011","MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",64.3121471246639,2.49161133718855e-05,3.56964374955379e-07,3.56964374955379e-07,3.874246854733e-07,0.000323064113238968,7.13928749910759e-07,"Southern Plains"
"35","NLA06608-0023",7503,2007-09-19,0.016,0.005,0.562,24,2.816,4.7,0.021,2,"PROB_Lake",-97.745332,31.14849172,"Region_6",210.5049403,"YES","SPL","MAN-MADE",6.20722172,265.85,12070202,"NLA_TX-10011","MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",51.7814135874801,4.01227957449847e-05,1.14228599985721e-06,3.56964374955379e-07,7.748493709466e-07,0.000391340549542048,1.49925037481259e-06,"Southern Plains"
"36","NLA06608-0024",7504,2007-07-11,0.026,0.005,0.86,35,44.151,8.2,0.031,1,"PROB_Lake",-95.48843409,32.1220497,"Region_6",2.186087249,"YES","CPL","MAN-MADE",9530.145112,105.13,12020001,"NLA_TX-10012","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","2:INTERMEDIATE DISTURBANCE",54.3349454217381,6.13978724923253e-05,1.85621474976797e-06,3.56964374955379e-07,1.12998866596379e-06,0.000682764363030808,2.21317912472335e-06,"Coastal Plains"
"37","NLA06608-0024",7505,2007-08-14,0.014,0.005,0.943,29,25.403,9.85,0.019,2,"PROB_Lake",-95.48843409,32.1220497,"Region_6",2.186087249,"YES","CPL","MAN-MADE",9530.145112,105.13,12020001,"NLA_TX-10012","EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)","1:LEAST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",71.905568309722,6.73234811165846e-05,9.99500249875062e-07,3.56964374955379e-07,9.36276323227142e-07,0.00082014987510408,1.35646462483044e-06,"Coastal Plains"
"38","NLA06608-0025",7506,2007-06-18,0.012,0.005,0.195,10,1.304,3.43,0.017,1,"PROB_Lake",-81.34573084,35.20132137,"Region_4",47.41940135,"YES","SAP","MAN-MADE",11.48123514,245.48,3050105,"NLA_NC-10001","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",43.1204654073677,1.39216106232598e-05,8.56714499892911e-07,3.56964374955379e-07,3.22853904561083e-07,0.000285595337218984,1.21367887484829e-06,"Southern Appalachians"
"39","NLA06608-0025",7507,2007-07-18,0.0135,0.0025,0.093,4.5,2.0665,3.115,0.016,2,"PROB_Lake",-81.34573084,35.20132137,"Region_4",47.41940135,"YES","SAP","MAN-MADE",11.48123514,245.48,3050105,"NLA_NC-10001","OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)","1:LEAST DISTURBED","1:LEAST DISTURBED","1:LEAST DISTURBED",45.7003223120821,6.63953737417006e-06,9.63803812379525e-07,1.7848218747769e-07,1.45284257052487e-07,0.000259367194004996,1.14228599985721e-06,"Southern Appalachians"
"40","NLA06608-0029",7508,2007-07-02,0.015,0.005,2.106,247,123.12,4.12,0.02,1,"PROB_Lake",-75.21503793,38.75601051,"Region_3",4.357499828,"YES","CPL","MAN-MADE",73.10037419,1.87,2040207,"NLA_DE-10001","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",18.8542925667843,0.000150353394731206,1.07089312486614e-06,3.56964374955379e-07,7.97449144265876e-06,0.000343047460449625,1.42785749982152e-06,"Coastal Plains"
"41","NLA06608-0029",7509,2007-09-11,0.014,0.0025,2.189,159.5,128.52,5.525,0.0165,2,"PROB_Lake",-75.21503793,38.75601051,"Region_3",4.357499828,"YES","CPL","MAN-MADE",73.10037419,1.87,2040207,"NLA_DE-10001","HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","3:MOST DISTURBED",30.3482674308265,0.000156279003355465,9.99500249875062e-07,1.7848218747769e-07,5.14951977774928e-06,0.000460033305578684,1.17798243735275e-06,"Coastal Plains"
"42","NLA06608-0031",7510,2007-06-13,0.011,0.005,0.428,32,5.264,3.83,0.016,1,"PROB_Lake",-81.51745185,39.77645357,"Region_5",28.82219287,"YES","SAP","MAN-MADE",24.24953577,241.93,5030201,"NLA_OH-10003","EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)","3:MOST DISTURBED","2:INTERMEDIATE DISTURBANCE","1:LEAST DISTURBED",29.5762166576176,3.05561504961805e-05,7.85321624901835e-07,3.56964374955379e-07,1.03313249459547e-06,0.000318900915903414,1.14228599985721e-06,"Southern Appalachians"
