"","X","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","DOC_PPM","NO3N_PPM","CHLA_PPB","NTL_PPM","NH4N_PPM","PTL_PPB","DIN_PPM","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","TSTATE_TP","TSTATE_TN","TSTATE_CHL","PCT_DEVELOPED_BSN","PCT_AGRIC_BSN","PTL_COND","NTL_COND","CHLA_COND","REFERENCE"
"32",32,2010208,"NLA17_CA-10001",1,"2017-06-06",4.16,0.0045,21.12,0.558,0.012,49.845,0.0165,"PROB","XER","Xeric",-122.7434,38.07833,"Region_09",6.633373618,"Urban","MAN_MADE",335.3417,51,18050005,"NLA_CA-10037",24.754914282801,0.0000398372242450204,0.000000856714499892911,0.000000321267937459841,0.00000160926528728472,0.000346378018318068,0.00000117798243735275,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",2.305717484,0,"Fair","Good","Poor",NA
"33",33,2010209,"NLA17_WV-10003",1,"2017-06-06",4.08,0.0011,3.67,0.329,0.012,9.505,0.0131,"PROB","SAP","Southern Appalachians",-78.59737,39.13362,"Region_03",5.882763554,"Non-Urban","MAN_MADE",15.43864,391,2070003,"NLA_WV-10026",76.5407308921026,0.000023488255872064,0.000000856714499892911,0.0000000785321624901835,0.00000030687263628531,0.000339716902581182,0.000000935246662383094,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)",0.581813204,5.068619734,"Good","Fair","Good",NA
"34",34,2010210,"NLA17_ND-10006",1,"2017-06-08",27.19,0.1731,1.58,3.038,0.246,118.25625,0.4191,"PROB","NPL","Northern Plains",-99.41651,46.89273,"Region_08",61.49389474,"Non-Urban","NATURAL",17.21388,531,10130103,"NLA_ND-10029",56.8083917752851,0.000216891554222889,0.0000175626472478047,0.0000123581066609552,0.00000381794920512516,0.00226394671107411,0.0000299207539087599,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","OLIGOTROPHIC (<= 2 ug/L)",4.557610511,33.83532785,"Poor","Poor","Good",NA
"35",35,2010211,"NLA17_MO-HP004",1,"2017-06-08",5.14,0,5.58,0.453,0.012,13.7775,0.012,"HAND","TPL","Temperate Plains",-92.65559555,40.17059749,"Region_07",0,"Urban","MAN_MADE",252.5045,242.76,10280202,"NLA_MO-10089",72.7070644893433,0.0000323409723709574,0.000000856714499892911,0,0.000000444811967009033,0.000427976686094921,0.000000856714499892911,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",7.754473279,9.892167319,"Good","Good","Good","Y"
"36",36,2010212,"NLA17_TX-10017",1,"2017-06-08",10.77,0,69.6,1.496,0.022,175.3325,0.022,"PROB","SPL","Southern Plains",-96.20017,32.46571,"Region_06",1720.492717,"Non-Urban","MAN_MADE",3.514443,117,12030107,"NLA_TX-10155",18.8676580429556,0.00010680374098665,0.00000157064324980367,0,0.00000566067822214561,0.000896752706078268,0.00000157064324980367,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",3.180914513,48.50894632,"Poor","Poor","Poor",NA
"37",37,2010213,"NLA17_UT-10013",1,"2017-06-08",8.7,0.179,90,3.93,0.02,426.8175,0.199,"PROB","XER","Xeric",-112.1546,41.17782,"Region_08",13.37835911,"Urban","NATURAL",2.610056,1285,16020102,"NLA_UT-10340",20.3610026744999,0.000280573998714928,0.00000142785749982152,0.0000127793246234026,0.000013779969641,0.000724396336386345,0.0000142071821232241,"HYPEREUTROPHIC (> 100 ug/L)","HYPEREUTROPHIC (> 1.4 mg/L)","HYPEREUTROPHIC (> 30 ug/L)",9.394572025,75.67849687,"Poor","Poor","Poor",NA
"38",38,2010214,"NLA17_AR-10001",1,"2017-06-07",10.35,0.0009,23.89,0.631,0.012,40.31875,0.0129,"PROB","CPL","Coastal Plains",-92.27375,34.53937,"Region_06",63.91637438,"Non-Urban","MAN_MADE",105.785,73,11110207,"NLA_AR-10020",34.6075717740271,0.0000450489041193689,0.000000856714499892911,0.0000000642535874919683,0.00000130170658645222,0.000861781848459617,0.000000920968087384879,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",9.280264297,0.781876819,"Good","Good","Fair",NA
"39",39,2010215,"NLA17_NV-10124",1,"2017-06-09",2.21,0.1786,3.3,0.634,0.053,20.4375,0.2316,"PROB","XER","Xeric",-115.1136,36.0658,"Region_09",15.19126674,"Urban","MAN_MADE",2.415007,614,15010015,"NLA_NV-10260",68.5978202920628,0.0000452630827443421,0.00000378382237452702,0.0000127507674734062,0.000000659832667446714,0.000184013322231474,0.0000165345898479332,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L)",99.999999994,0,"Good","Fair","Good",NA
"40",40,2010216,"NLA17_MO-HP003",1,"2017-06-09",5.73,0,8.96,0.58,0.014,27.92125,0.014,"HAND","TPL","Temperate Plains",-91.15320109,39.34170139,"Region_07",0,"Urban","MAN_MADE",19.66697,241.3,7080101,"NLA_MO-10088",45.9348142590106,0.000041407867494824,0.000000999500249875062,0,0.000000901448458272615,0.000477102414654455,0.000000999500249875062,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",3.482190324,40.96225412,"Good","Good","Good","Y"
"41",41,2010217,"NLA17_KS-10034",1,"2017-06-09",5.2,0,8.32,0.693,0.018,17.9125,0.018,"PROB","TPL","Temperate Plains",-95.62764,39.00367,"Region_07",13.71850117,"Urban","MAN_MADE",154.9541,292,10270102,"NLA_KS-10091",85.5511515087397,0.0000494752623688156,0.00000128507174983937,0,0.00000057831205654504,0.000432972522897585,0.00000128507174983937,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",24.87892308,52.56454257,"Good","Good","Good",NA
"42",42,2010218,"NLA17_CA-10082",1,"2017-06-07",6.27,0,16.41,0.834,0.016,35.15625,0.016,"PROB","XER","Xeric",-120.3545,37.54158,"Region_09",8.765044119,"Non-Urban","MAN_MADE",26.55921,121,18040008,"NLA_CA-10201",52.458073198488,0.0000595416577425573,0.00000114228599985721,0,0.00000113503325822256,0.000522064945878435,0.00000114228599985721,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",3.040604344,2.266288952,"Good","Fair","Poor",NA
"43",43,2010219,"NLA17_OK-10001",1,"2017-06-07",6.78,0,16.8,0.828,0.012,56.49,0.012,"PROB","SPL","Southern Plains",-96.70763,34.9645,"Region_06",19.61112779,"Non-Urban","MAN_MADE",533.124,281,11090202,"NLA_OK-10060",32.412131357309,0.0000591133004926108,0.000000856714499892911,0,0.00000182380170686556,0.000564529558701082,0.000000856714499892911,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75-1.4 mg/L)","EUTROPHIC (7-30 ug/L)",12.588725289,12.18982812,"Poor","Fair","Poor",NA
"44",44,2010220,"NLA17_WV-10002",1,"2017-06-07",1.83,0.0773,2.5,0.255,0.011,3.67625,0.0883,"PROB","SAP","Southern Appalachians",-80.5897,38.82171,"Region_03",3.438154929,"Non-Urban","MAN_MADE",334.3316,238,5030103,"NLA_WV-10008",153.385381618027,0.0000182051831227244,0.000000785321624901835,0.00000551866923681017,0.000000118689166664268,0.000152373022481266,0.000006303990861712,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L)",4.671059499,3.89560312,"Good","Good","Good","Y"
"45",45,2010221,"NLA17_WV-10004",1,"2017-06-08",4.17,0,18.88,0.736,0.01,47.80625,0.01,"PROB","SAP","Southern Appalachians",-82.12585,38.8378,"Region_03",14.19536423,"Urban","MAN_MADE",10.19279,168,5130107,"NLA_WV-10023",34.0441083726153,0.0000525451559934319,0.000000713928749910759,0,0.00000154344344749233,0.000347210657785179,0.000000713928749910759,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7-30 ug/L)",24.195338512,11.5427303,"Poor","Poor","Poor",NA
