"","VISIT_ID","NTL_PPM","PTL_PPB","NH4N_PPM","NO3N_PPM","DOC_PPM","DIN_PPM","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","ECO_REG","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","tn.tp","TN_mol","NH4N_mol","NO3N_mol","TP_mol","DOC_mol","DIN_mol","ECO_REG_NAME","CHLA_PPB","TSTATE_TP","TSTATE_TN","TSTATE_CHL"
"18",1000030,0.465,84,0.015,0.005,2.93,0.02,"NLA12_ID-111",1,2012-06-28,"PROB",-114.8788521,42.20637168,"Region_10",17.45596269,"No","MAN_MADE",393.0365949,1593,17040213,"NLA_ID-10039","XER","Good","Good","Fair","Eutrophic",12.2411577621648,3.31976868708503e-05,1.07089312486614e-06,3.56964374955379e-07,2.7119727983131e-06,0.000243963363863447,1.42785749982152e-06,"Xeric",12.24,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"19",1000032,0.315,20,0.016,0.003,7.29,0.019,"NLA12_VT-106",1,2012-07-02,"PROB",-71.79916952,44.77783926,"Region_1",16.5353981,"No","NATURAL",9.495781733,350.12,1080101,"NLA_VT-10014","NAP","Fair","Good","Fair","Mesotrophic",34.8280682136432,2.24887556221889e-05,1.14228599985721e-06,2.14178624973228e-07,6.45707809122167e-07,0.00060699417152373,1.35646462483044e-06,"Northern Appalachians",5.28,"MESOTROPHIC (10-25 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L))"
"20",1000034,0.5,24,0.048,NA,4.7,NA,"NLA12_WI-152",1,2012-07-02,"PROB",-88.61516896,42.59803618,"Region_5",19.34532864,"Yes","NATURAL",712.9395732,282.49,7090001,"NLA_WI-10087","TPL","Poor","Good","Good","Mesotrophic",46.0688732984698,3.56964374955379e-05,3.42685799957164e-06,NA,7.748493709466e-07,0.000391340549542048,NA,"Temperate Plains",5.15,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"21",1000039,1.67,12,0.034,NA,3.9,NA,"NLA12_WI-113",1,2012-07-05,"PROB",-89.30356704,43.81355964,"Region_5",61.51024902,"No","NATURAL",7.476834304,240.76,4030201,"NLA_WI-10048","UMW","Good","Poor","Good","Mesotrophic",307.740073633778,0.000119226101235097,2.42735774969658e-06,NA,3.874246854733e-07,0.000324729392173189,NA,"Upper Midwest",2.48,"MESOTROPHIC (10-25 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","MESOTROPHIC (2-7 ug/L))"
"22",1000043,0.398,10,0.015,0.002,5.07,0.017,"NLA12_MI-151",1,2012-07-09,"PROB",-84.53228457,42.69438266,"Region_5",137.3026588,"Yes","MAN_MADE",8.421188949,251.36,4050004,"NLA_MI-10118","UMW","Good","Good","Good","Mesotrophic",88.0099755493967,2.84143642464482e-05,1.07089312486614e-06,1.42785749982152e-07,3.22853904561083e-07,0.000422148209825146,1.21367887484829e-06,"Upper Midwest",3.423,"OLIGOTROPHIC (<= 10 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"23",1000044,0.72,18,0.048,NA,8.3,NA,"NLA12_WI-117",1,2012-07-10,"PROB",-89.21610906,44.0425333,"Region_5",61.51024902,"No","NATURAL",6.228535462,260.89,4030201,"NLA_WI-10052","UMW","Good","Good","Good","Mesotrophic",88.452236733062,5.14028699935746e-05,3.42685799957164e-06,NA,5.8113702820995e-07,0.000691090757701915,NA,"Upper Midwest",4.53,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"24",1000046,1.559,31,0.034,0.002,18.43,0.036,"NLA12_MI-139",1,2012-07-10,"PROB",-84.90798786,42.38808843,"Region_5",325.1169051,"No","NATURAL",2.696718707,282.31,4050003,"NLA_MI-10106","UMW","Fair","Poor","Fair","Eutrophic",111.207287957132,0.000111301492111087,2.42735774969658e-06,1.42785749982152e-07,1.00084710413936e-06,0.0015345545378851,2.57014349967873e-06,"Upper Midwest",8.32,"EUTROPHIC (25-100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","EUTROPHIC (7 to 30 ug/L)"
"25",1000047,0.616,38,0.049,0.002,5.95,0.051,"NLA12_MI-124",1,2012-07-10,"PROB",-86.14530228,43.37342619,"Region_5",68.23819077,"Yes","NATURAL",20.7984169,198.02,4060102,"NLA_MI-10091","UMW","Good","Good","Fair","Mesotrophic",35.8464327812936,4.39780109945028e-05,3.49825087456272e-06,1.42785749982152e-07,1.22684483733212e-06,0.000495420482930891,3.64103662454487e-06,"Upper Midwest",3,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"26",1000048,3.925,590,1.03,0.005,14.94,1.035,"NLA12_TX-117",2,2012-07-10,"PROB",-95.73801377,33.06712109,"Region_6",24.85716519,"No","MAN_MADE",14.71439965,148.99,12010003,"NLA_TX-10097","CPL","Poor","Poor","Poor","Hypereutrophic",14.7108063210707,0.000280217034339973,7.35346612408082e-05,3.56964374955379e-07,1.90483803691039e-05,0.00124396336386345,7.38916256157635e-05,"Coastal Plains",144.8,"HYPEREUTROPHIC (>100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","HYPEREUTROPHIC (> 30 ug/L)"
"27",1000049,0.016,62,0.0075,0.002,0.3,0.0095,"NLA12_OR-106",1,2012-07-10,"PROB",-122.0454265,44.31314071,"Region_10",14.60346988,"No","MAN_MADE",63.69158062,795.16,17090004,"NLA_OR-10031","WMT","Good","Good","Poor","Oligotrophic",0.570659591826207,1.14228599985721e-06,5.35446562433069e-07,1.42785749982152e-07,2.00169420827872e-06,2.49791840133222e-05,6.78232312415221e-07,"Western Mountains",0.997894737,"EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","OLIGOTROPHIC (<= 2 ug/L)"
"28",1000050,0.74,21,0.059,NA,6.9,NA,"NLA12_WI-136",1,2012-07-11,"PROB",-88.45502863,43.05664122,"Region_5",14.23263464,"Yes","NATURAL",21.88736741,263.67,7090001,"NLA_WI-10071","TPL","Poor","Good","Good","Mesotrophic",77.9222085505547,5.28307274933962e-05,4.21217962447348e-06,NA,6.77993199578275e-07,0.000574521232306411,NA,"Temperate Plains",6.22,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"29",1000052,0.569,44,0.0068,0,4.69,0.0068,"NLA12_MI-109",1,2012-07-11,"PROB",-85.19033981,42.62319809,"Region_5",12.79786549,"No","NATURAL",177.5017494,241.34,4050007,"NLA_MI-10037","UMW","Good","Good","Poor","Eutrophic",28.5962060801774,4.06225458699222e-05,4.85471549939316e-07,0,1.42055718006877e-06,0.000390507910074938,4.85471549939316e-07,"Upper Midwest",19.34883721,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"30",1000053,0.805,35,0.011,0.002,10.02,0.013,"NLA12_TX-109",1,2012-07-11,"PROB",-95.89431333,32.08995916,"Region_6",745.4687385,"No","MAN_MADE",5.361167783,116.46,12030201,"NLA_TX-10018","CPL","Good","Poor","Good","Eutrophic",50.8600361215107,5.74712643678161e-05,7.85321624901835e-07,1.42785749982152e-07,1.12998866596379e-06,0.000834304746044962,9.28107374883987e-07,"Coastal Plains",11.2,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"31",1000054,0.429,19,0.0078,0.002,5.7,0.0098,"NLA12_VT-109",1,2012-07-12,"PROB",-72.83550844,42.7469444,"Region_1",19.45340953,"No","NATURAL",10.89805771,516.79,1080203,"NLA_VT-10017","NAP","Fair","Fair","Fair","Eutrophic",49.9289599453732,3.06275433711716e-05,5.56864424930392e-07,1.42785749982152e-07,6.13422418666058e-07,0.000474604496253122,6.99650174912544e-07,"Northern Appalachians",7.76,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"32",1000055,0.721,17,0.0094,0.002,12.83,0.0114,"NLA12_MI-136",1,2012-07-12,"PROB",-85.37979014,43.36480531,"Region_5",70.40204082,"No","NATURAL",19.92870769,278.58,4060102,"NLA_MI-10103","UMW","Good","Good","Good","Mesotrophic",93.7853863007908,5.14742628685657e-05,6.71093024916113e-07,1.42785749982152e-07,5.48851637753842e-07,0.00106827643630308,8.13878774898265e-07,"Upper Midwest",6.224,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"33",1000056,0.546,44,0.013,0.043,6.17,0.056,"NLA12_MI-105",1,2012-07-11,"PROB",-86.31568591,43.2314452,"Region_5",12.79786549,"Yes","NATURAL",1899.63343,176.65,4060102,"NLA_MI-10032","UMW","Good","Good","Poor","Eutrophic",27.4402961683249,3.89805097451274e-05,9.28107374883987e-07,3.06989362461626e-06,1.42055718006877e-06,0.000513738551207327,3.99800099950025e-06,"Upper Midwest",12,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"34",1000058,0.72,26,0.031,0.002,7.48,0.033,"NLA12_MI-167",1,2012-07-12,"PROB",-84.20373932,42.9176234,"Region_5",137.3026588,"No","MAN_MADE",8.142607701,238.92,4050005,"NLA_MI-10134","UMW","Good","Good","Good","Eutrophic",61.2361638921199,5.14028699935746e-05,2.21317912472335e-06,1.42785749982152e-07,8.39420151858817e-07,0.000622814321398834,2.3559648747055e-06,"Upper Midwest",12.64,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"35",1000059,0.52,17,0.048,NA,5.4,NA,"NLA12_WI-168",1,2012-07-13,"PROB",-88.26962301,42.50962706,"Region_5",19.34532864,"Yes","NATURAL",293.706702,241.63,7120006,"NLA_WI-10103","TPL","Poor","Good","Good","Mesotrophic",67.6399457370474,3.71242949953595e-05,3.42685799957164e-06,NA,5.48851637753842e-07,0.0004496253122398,NA,"Temperate Plains",3.2,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"36",1000060,0.596,25,0.0064,0,6.05,0.0064,"NLA12_TX-124",1,2012-07-13,"PROB",-98.98190835,32.79752902,"Region_6",24.85716519,"No","MAN_MADE",6050.902632,360.68,12060105,"NLA_TX-10104","SPL","Good","Good","Good","Eutrophic",52.717533092905,4.25501534946812e-05,4.56914399942886e-07,0,8.07134761402708e-07,0.000503746877601998,4.56914399942886e-07,"Southern Plains",12.08,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"37",1000062,0.595,64,0.014,0,5.74,0.014,"NLA12_TX-148",1,2012-07-15,"PROB",-98.15099199,33.27090609,"Region_6",24.85716519,"Yes","MAN_MADE",20.20554838,291.01,12030101,"NLA_TX-10127","SPL","Good","Good","Poor","Mesotrophic",20.5582347094422,4.24787606196902e-05,9.99500249875062e-07,0,2.06626498919093e-06,0.000477935054121565,9.99500249875062e-07,"Southern Plains",5.64,"EUTROPHIC (25-100 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"38",1000063,3.84,132,0.053,NA,4.2,NA,"NLA12_WI-172",1,2012-07-14,"PROB",-89.29875291,43.49766607,"Region_5",14.23263464,"Yes","MAN_MADE",35.44372211,242.92,7070005,"NLA_WI-10107","TPL","Poor","Poor","Poor","Hypereutrophic",64.3288994422269,0.000274148639965731,3.78382237452702e-06,NA,4.2616715402063e-06,0.000349708576186511,NA,"Temperate Plains",85.3,"HYPEREUTROPHIC (>100 ug/L)","HYPEREUTROPHIC (> 1.4 ug/L)","HYPEREUTROPHIC (> 30 ug/L)"
"39",1000066,0.558,14,0.015,0,5.13,0.015,"NLA12_MI-108",1,2012-07-16,"PROB",-86.21361091,42.08123991,"Region_5",102.986062,"Yes","NATURAL",81.73778302,232.46,4050001,"NLA_MI-10034","UMW","Good","Good","Good","Mesotrophic",88.1363358875868,3.98372242450204e-05,1.07089312486614e-06,0,4.51995466385517e-07,0.00042714404662781,1.07089312486614e-06,"Upper Midwest",4.48,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"40",1000067,1.048,85,0.024,0.003,7.09,0.027,"NLA12_ID-149",1,2012-07-15,"PROB",-116.649551,46.68823022,"Region_10",12.10496977,"No","NATURAL",6.488524087,677.78,17060306,"NLA_ID-10098","WMT","Fair","Poor","Poor","Eutrophic",27.2641012047791,7.48197329906475e-05,1.71342899978582e-06,2.14178624973228e-07,2.74425818876921e-06,0.000590341382181515,1.92760762475905e-06,"Western Mountains",26.72,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"41",1000068,0.303,77,0.015,0.002,3.42,0.017,"NLA12_ID-148",1,2012-07-16,"PROB",-116.8343671,46.20607125,"Region_10",3.290387433,"No","MAN_MADE",38.08818946,1034.14,17060103,"NLA_ID-10097","XER","Good","Good","Fair","Mesotrophic",8.70163237990838,2.1632041122296e-05,1.07089312486614e-06,1.42785749982152e-07,2.48597506512034e-06,0.000284762697751873,1.21367887484829e-06,"Xeric",5.546666667,"EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L))"
"42",1000069,0.196,35,0.02,0,2.54,0.02,"NLA12_ID-103",1,2012-07-14,"PROB",-116.6151536,47.46589015,"Region_10",18.81939011,"No","NATURAL",399.5960538,648.7,17010303,"NLA_ID-10016","WMT","Poor","Good","Fair","Mesotrophic",12.3833131426287,1.39930034982509e-05,1.42785749982152e-06,0,1.12998866596379e-06,0.000211490424646128,1.42785749982152e-06,"Western Mountains",3.562666667,"EUTROPHIC (25-100 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L))"
"43",1000070,0.619,18,0.025,0,7.46,0.025,"NLA12_MI-104",1,2012-07-17,"PROB",-86.04479965,42.37792782,"Region_5",113.4000018,"No","NATURAL",109.0730023,203.67,4050002,"NLA_MI-10066","UMW","Good","Good","Good","Mesotrophic",76.0443535246742,4.4192189619476e-05,1.7848218747769e-06,0,5.8113702820995e-07,0.000621149042464613,1.7848218747769e-06,"Upper Midwest",5.176,"MESOTROPHIC (10-25 ug/L)","MESOTROPHIC (0.35-0.75 mg/L)","MESOTROPHIC (2-7 ug/L))"
"44",1000071,0.296,9,0.026,0.078,3.01,0.104,"NLA12_VT-104",1,2012-07-17,"PROB",-73.0524672,43.89113168,"Region_1",82.51229997,"No","MAN_MADE",41.12620274,384.73,2010002,"NLA_VT-10006","NAP","Good","Good","Good","Mesotrophic",72.7273946471843,2.11322909973585e-05,1.85621474976797e-06,5.56864424930392e-06,2.90568514104975e-07,0.000250624479600333,7.42485899907189e-06,"Northern Appalachians",3.168,"OLIGOTROPHIC (<= 10 ug/L)","OLIGOTROPHIC (<= 0.35 mg/L)","MESOTROPHIC (2-7 ug/L))"
"45",1000072,0.781,49,0.028,0,6.95,0.028,"NLA12_MI-120",1,2012-07-17,"PROB",-86.47416191,41.79511788,"Region_5",137.3026588,"No","NATURAL",4.425981362,209.88,4040001,"NLA_MI-10087","UMW","Good","Fair","Poor","Eutrophic",35.2455086165926,5.57578353680303e-05,1.99900049975012e-06,0,1.58198413234931e-06,0.000578684429641965,1.99900049975012e-06,"Upper Midwest",22.48,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"46",1000073,0.97,49,0.016,0,8.92,0.016,"NLA12_TX-103",1,2012-07-17,"PROB",-101.7171387,35.58232959,"Region_6",7.741669458,"Yes","MAN_MADE",6559.394263,894.9,11090105,"NLA_TX-10023","SPL","Good","Poor","Fair","Eutrophic",43.7748314444236,6.92510887413436e-05,1.14228599985721e-06,0,1.58198413234931e-06,0.000742714404662781,1.14228599985721e-06,"Southern Plains",14.5,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
"47",1000075,1.236,30,0.016,0,24.53,0.016,"NLA12_MI-152",1,2012-07-18,"PROB",-85.63804424,42.75737274,"Region_5",137.3026588,"Yes","NATURAL",9.663838158,240.06,4050006,"NLA_MI-10119","UMW","Good","Poor","Fair","Eutrophic",91.1058038350539,8.82415934889698e-05,1.14228599985721e-06,0,9.6856171368325e-07,0.00204246461282265,1.14228599985721e-06,"Upper Midwest",23.3,"EUTROPHIC (25-100 ug/L)","EUTROPHIC (0.75 to 1.4 mg/L)","EUTROPHIC (7 to 30 ug/L)"
