UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,LAT_DD83,LON_DD83,XCOORD,YCOORD,AG_ECO3_NM,AG_ECO9_NM,MISS_BASIN_NM,MAJ_BAS_NM,FS_EW,EPA_REG,STRAH_CAT,NARS_OWN,NRS13_EVAL,NRS13_MDC,NRS13_PNL,NRS13_SF,NRS13_STRA,NRS13_TNT,NRS13_URBN,NRS13_VST,WGT_EXT_SP,ANC_COND,ANC,DOC,PH,SAL_COND,COND,NTL_COND,NTL_UG_L,PTL_COND,PTL,BENT_MMI_COND,MMI_BENT,OE_SCORE,OE_COND,INSTRMCVR_COND,L_XFC_NAT,BEDSED_COND,LRBS_USE,RIPDIST_COND,W1_HALL,RIPVEG_COND,L_XCMGW,FISH_MMI_COND,MMI_FISH,ENT_1X_CCE_100ML,ENT_1X_STV_COND,MICX_COND,MICX_RESULT,MICX_MDL,MICX_RL,MICX_FLAG,HG_COND,MERCURY_RESULT,MERCURY_MDL,MERCURY_RL,MERCURY_FLAG,MERCURY_DATA_FLAG,MERCURY_COMMENT,PUBLICATION_DATE
1002024,GAS9-0921,2013,1,5/21/2013,34.42897768,-82.90527557,1190323.063,-261717.398,Eastern Highlands,Southern Appalachians,,South-Atlantic Region,,Region_4,SmallStreams,Private,Target_Sampled,GA_Streams_GA_2nd,Base_09Stream,Include,GA,Target,NonUrban,1,630.3070272,None,183.16,2.48,6.46,Good,34.4,Fair,424,Poor,41,Poor,10.3,0.600774125,O/E<0.8,Good,-0.129702526,Poor,-1.617704328,Low,0.090913636,Good,0.107694403,Fair,57.52,2318.917946,Above Human Health Threshold,<= 8 ug/L,0.205,,,,Not Assessed,142,0.792,4.39,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002025,GAS9-0915,2013,1,5/23/2013,33.92673274,-85.05046408,1002726.546,-342167.553,Eastern Highlands,Southern Appalachians,,South-Atlantic Region,,Region_4,SmallStreams,Private,Target_Sampled,GA_Streams_GA_1st,Base_09Stream,Include,GA,Target,NonUrban,1,1483.552107,None,464.81,8.46,6.47,Good,63.9,Poor,1741,Poor,92,Poor,8.28,0.419024904,OE<0.5,Good,-0.03664153,Fair,-1.501130284,High,1.5,Good,0.018265381,Poor,42.98,1598.460797,Above Human Health Threshold,<= 8 ug/L,0.142,,0.15,L,Not Assessed,133,0.762,4.22,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002026,PARM-1005,2013,1,5/29/2013,40.59864,-79.75119,1356916,463542.5,Eastern Highlands,Southern Appalachians,Ohio Region,Ohio-Tennessee Region,,Region_3,RiversMajor,Private,Target_Sampled,PA_RiversMajor_SAP,Base_NewRiversMajor,Include,PA,Target,Urban,1,216.452938,None,720.63,1.76,7.46,Good,280,Poor,525,Good,14,Poor,14.83,0.519596583,O/E<0.8,Good,-0.475676014,Not Assessed,,High,2.443305051,Fair,-0.098269308,Poor,35.14,40.90934556,Below Human Health Threshold,<= 8 ug/L,0.12,,0.15,L,Does Not Exceed 300 ng Hg/g ww,57.3,0.917,5.08,,,,4/29/2019
1002027,OHRM-1002,2013,1,5/28/2013,40.14887,-80.70356,1286170,400605.4,Eastern Highlands,Southern Appalachians,Ohio Region,Ohio-Tennessee Region,,Region_5,RiversMajor,Private,Target_Sampled,OH_RiversMajor_SAP,Base_NewRiversMajor,Include,OH,Target,Urban,1,398.8473246,None,882.51,1.91,7.61,Good,348,Poor,845,Fair,24,Poor,6.07,0.30537884,OE<0.5,Fair,-0.619788758,Good,1.123265766,High,1.894,Fair,-0.068958408,Poor,35,28.66524887,Below Human Health Threshold,<= 8 ug/L,0.117,,0.15,L,Does Not Exceed 300 ng Hg/g ww,83.1,0.659,3.65,,,,4/29/2019
1002028,PARM-1001,2013,1,5/29/2013,40.76001,-79.54689,1370694,484281.2,Eastern Highlands,Southern Appalachians,Ohio Region,Ohio-Tennessee Region,,Region_3,RiversMajor,Private,Target_Sampled,PA_RiversMajor_SAP,Base_NewRiversMajor,Include,PA,Target,Urban,1,216.452938,None,783.85,1.91,7.57,Good,229,Fair,426,Fair,16,Poor,17.93,0.427861145,OE<0.5,Good,-0.483885483,Not Assessed,,Moderate,1.319670346,Good,-0.066075785,Poor,34.77,63.41860708,Below Human Health Threshold,<= 8 ug/L,0.114,,0.15,L,Does Not Exceed 300 ng Hg/g ww,114,5.31,29.4,,,,4/29/2019
1002029,NJS9-0908,2013,1,6/2/2013,41.04212,-74.0473,1814492,607431.9,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_2,SmallStreams,Private,Target_Sampled,NJ_Streams_NJ_2nd,Base_09Stream_RVT,Include,NJ,Target,Urban,2,195.4163025,None,2962.79,2.61,8.13,Fair,964,Poor,1875,Poor,66,Poor,13.15,0.347799868,OE<0.5,Good,-0.037716783,Good,-0.178907451,High,5.740994091,Fair,-0.268887616,Fair,55.94,1566.269651,Above Human Health Threshold,<= 8 ug/L,0.151,,,,Not Assessed,,,,,,,4/29/2019
1002030,CARM-1007,2013,1,6/3/2013,38.43501,-121.5249,-2180653,399419.8,West,Xeric,,California Region,,Region_9,RiversMajor,Private,Target_Sampled,CA_RiversMajor_XER,Base_NewRiversMajor,Include,CA,Target,Urban,1,34.36641489,None,1310,2.4,7.91,Good,164,Fair,365,Fair,63.4,Poor,9.87,0.225447522,OE<0.5,Good,-0.449215928,Poor,-3.083127647,High,2.924345455,Good,-0.095186131,Not Assessed,,30.20739977,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002031,AZR9-0902,2013,1,5/27/2013,36.43346223,-111.8640926,-1402647.068,-2155.033,West,Xeric,,Lower Colorado Region,,Region_9,RiversMajor,NPS,Target_Sampled,AZ_Rivers_AZ_7th+,Base_09River,Include,AZ,Target,NonUrban,1,28.40589786,None,2740.47,2.73,7.74,Fair,794,Good,166,Good,2,Poor,29.02,0.735991287,O/E<0.8,Good,-0.941022138,Fair,-0.972035257,Low,0.068181818,Good,-0.41840198,Not Assessed,,8.716400904,Below Human Health Threshold,<= 8 ug/L,0.117,,0.15,L,Does Not Exceed 300 ng Hg/g ww,38.9,1.74,9.65,,,,4/29/2019
1002032,AZR9-0901,2013,1,5/30/2013,36.08766461,-111.8706113,-1409656.042,-40250.352,West,Xeric,,Lower Colorado Region,,Region_9,RiversMajor,NPS,Target_Sampled,AZ_Rivers_AZ_7th+,Base_09River,Include,AZ,Target,NonUrban,1,28.40589786,None,2507.06,2.45,7.74,Fair,773,Good,236,Good,2,Poor,21.37,0.763844541,O/E<0.8,Fair,-1.293204657,Good,0.066026932,Low,0,Good,-0.384815394,Not Assessed,,7.450946928,Below Human Health Threshold,<= 8 ug/L,0.147,,0.15,L,Does Not Exceed 300 ng Hg/g ww,41.9,1.72,9.51,,,,4/29/2019
1002033,CARM-1003,2013,1,6/4/2013,37.90976,-121.3253,-2179511,338062.9,West,Xeric,,California Region,,Region_9,RiversMajor,Private,Target_Sampled,CA_RiversMajor_XER,Base_NewRiversMajor,Include,CA,Target,Urban,1,34.36641489,None,1530,3.8,7.87,Fair,566,Poor,2090,Poor,266,Poor,5.57,0.19523375,OE<0.5,Fair,-1.082351291,Poor,-2.926766705,High,2.03252316,Fair,-0.459045191,Poor,24.84,27.00430545,Below Human Health Threshold,<= 8 ug/L,0.142,,0.15,L,Does Not Exceed 300 ng Hg/g ww,175,1.53,8.47,,,,4/29/2019
1002034,NJRO-1019,2013,1,6/4/2013,40.75796,-74.16351,1812305,574234.8,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_2,RiversOther,Private,Target_Sampled,NJ_RiversOther_SAP,Base_NewRiversOther,Include,NJ,Target,Urban,1,111.7962681,None,1318.51,6.02,7.61,Good,466,Poor,1719,Poor,301,Poor,0,0.308842648,OE<0.5,Poor,-1.016086822,Not Assessed,,High,5.643544725,Poor,-0.724898146,Poor,37.05,102.1541531,Below Human Health Threshold,<= 8 ug/L,0.102,,0.15,L,Not Assessed,51.6,1.74,9.65,,OW_1,Reason for setting as Not Assessed: Exclude - unknown length and species,4/29/2019
1002035,TXR9-0907,2013,1,6/4/2013,30.57973,-94.99791,95903.25,-772531.4,Plains and Lowlands,Coastal Plains,,Rio Grande-Texas-Gulf Region,,Region_6,RiversMajor,Private,Target_Sampled,TX_Rivers_TX_6th,Base_09River,Include,TX,Target,NonUrban,1,352.8038609,None,1710.71,5,8.07,Good,403,Fair,836,Fair,85,Poor,37.6,0.788006314,O/E<0.8,Good,-0.596567486,Good,3.050410081,Low,0.030304545,Good,0.035429738,Poor,33.55,29.49353959,Below Human Health Threshold,<= 8 ug/L,0.22,,,,Exceeds 300 ng Hg/g ww,391,3.27,18.1,H,LAB_1,This sample was analyzed outside of the recommended holding time.,4/29/2019
1002036,GAS9-0916,2013,1,6/4/2013,32.80115995,-82.92292172,1213670.297,-442044.05,Plains and Lowlands,Coastal Plains,,South-Atlantic Region,,Region_4,SmallStreams,Private,Target_Sampled,GA_Streams_GA_1st,Base_09Stream,Include,GA,Target,NonUrban,1,1575.419002,None,289.5,4.39,7.32,Good,45.2,Good,356,Fair,85,Good,63.47,0.93840983,O/E>=0.9,Good,-0.205068569,Good,-1.909506395,Low,0.113636364,Good,0.129162373,Fair,54.04,822.8494026,Below Human Health Threshold,<= 8 ug/L,0.132,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002037,NES9-0934,2013,1,6/5/2013,40.90226,-96.60626,-50657.94,381421.2,Plains and Lowlands,Temporate Plains,Lower Missouri Region,Missouri Region,,Region_7,SmallStreams,Private,Target_Sampled,NE_Streams_NE_1st,Base_09Stream_RVT,Include,NE,Target,NonUrban,2,2316.91227,None,6993.7,4.31,,Good,845,Poor,6590,Poor,330,Poor,0,0.350016091,OE<0.5,Fair,-1.106894235,Fair,-1.713527893,Moderate,1.000036364,Good,-0.23793557,Poor,42.34,1757.989406,Above Human Health Threshold,<= 8 ug/L,0.158,,,,Not Assessed,,,,,,,4/29/2019
1002038,KSRS-1261,2013,1,6/5/2013,39.35249,-99.83154,-327072.3,214224.5,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_7,RiversOther,Private,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,NonUrban,1,341.4498869,None,3520.79,5.94,7.93,Fair,1054,Good,415,Good,55,Poor,16.97,0.551612043,O/E<0.8,Good,-0.877039828,Good,-1.737191815,Moderate,1.113654545,Good,-0.176733305,Good,60.39,1094.393574,Below Human Health Threshold,<= 8 ug/L,0.128,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002039,KSRS-1277,2013,1,6/5/2013,39.04576,-99.04318,-260902,177430.1,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_7,RiversOther,Private,Target_Sampled,KS_RiverStream,Base_NewRiverStream,Include,KS,Target,NonUrban,1,341.4498869,None,3188.61,6.69,7.87,Fair,1964,Good,469,Good,33,Good,40.15,0.955162647,O/E>=0.9,Good,-0.958607315,Good,-1.904978403,High,2.075772727,Good,-0.367220718,Good,52.41,108.4512059,Below Human Health Threshold,<= 8 ug/L,0.115,,0.15,L,Does Not Exceed 300 ng Hg/g ww,192,1.72,9.51,,,,4/29/2019
1002040,OKR9-0901,2013,1,6/3/2013,35.92582,-99.51525,-314285.2,-170542.2,Plains and Lowlands,Southern Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_6,RiversMajor,Private,Target_Sampled,OK_Rivers_OK_7th+,Base_09River_RVT,Include,OK,Target,NonUrban,2,115.8330751,None,3270.49,3.46,8.4,Poor,2580,Good,246,Good,37,Fair,24.4,0.521339129,O/E<0.8,Fair,-1.248500948,Good,-0.948938089,Low,0.238107143,Good,-0.10119649,Poor,37.8,263.3043182,Below Human Health Threshold,<= 8 ug/L,0.183,,,,Not Assessed,158,1.74,9.62,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002041,PALS-1091,2013,1,6/5/2013,41.75655,-77.5552,1513129,624192.6,Eastern Highlands,Northern Appalachians,,Mid-Atlantic Region,,Region_3,LargeStreams,State,Target_Sampled,PA_LargeStreams_NAP,Base_NewLargeStreams,Include,PA,Target,NonUrban,1,552.2456821,None,498.71,0.85,7.68,Good,83.8,Good,108,Good,15,Good,90.87,1.213144964,O/E>=0.9,Good,-0.175992567,Good,-0.339756743,Low,0,Good,0.086440728,Poor,46.73,215.0847338,Below Human Health Threshold,<= 8 ug/L,0.168,,,,Does Not Exceed 300 ng Hg/g ww,114,1.69,9.36,,,,4/29/2019
1002042,NJLS-1043,2013,1,6/5/2013,40.91547,-74.08986,1814278,592813.9,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_2,LargeStreams,Local Government,Target_Sampled,NJ_LargeStreams_SAP,Base_NewLargeStreams,Include,NJ,Target,Urban,1,190.8559548,None,2284.86,3.49,7.9,Fair,765,Poor,5100,Poor,611,Poor,11.75,0.685182851,O/E<0.8,Good,-0.182104243,Fair,-0.534829091,High,3.818254545,Fair,-0.157163916,Poor,32.62,514.3033455,Below Human Health Threshold,<= 8 ug/L,0.247,,,,Not Assessed,8.56,0.671,3.72,,OW_1,Reason for setting as Not Assessed: Exclude - unknown length and species,4/29/2019
1002043,DELS-1036,2013,1,6/5/2013,38.85149,-75.66956,1734648,337735.4,Plains and Lowlands,Coastal Plains,,Mid-Atlantic Region,,Region_3,LargeStreams,Private,Target_Sampled,DE_LargeStreams_CPL,Base_NewLargeStreams,Include,DE,Target,NonUrban,1,27.06030047,None,356.46,2.84,6.91,Good,137,Poor,2775,Fair,96,Poor,32.67,1.054678067,O/E>=0.9,Poor,-1.256062854,Good,-0.652008343,Low,0.060609091,Poor,-0.497634963,Poor,44.33,128.8415168,Below Human Health Threshold,Not Detected,,0.1,,ND,Does Not Exceed 300 ng Hg/g ww,22.2,1.73,9.58,,,,4/29/2019
1002044,NES9-0923,2013,1,6/4/2013,41.41566,-98.08897,-173274.9,440643.5,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_7,LargeStreams,Private,Target_Sampled,NE_Streams_NE_4th,Base_09Stream,Include,NE,Target,NonUrban,1,88.20179831,None,6614.042,4.99,,Good,674,Poor,2870,Poor,600,Fair,31.65,0.482708595,OE<0.5,Good,-0.760359317,Fair,-1.866002414,Moderate,0.969727273,Poor,-0.677780705,Fair,41.78,100.1251996,Below Human Health Threshold,<= 8 ug/L,0.119,,0.15,L,Not Assessed,,,,,,,4/29/2019
1002045,NES9-0930,2013,1,6/3/2013,41.67311,-97.67665,-138569.7,468774.5,Plains and Lowlands,Southern Plains,Lower Missouri Region,Missouri Region,,Region_7,LargeStreams,Private,Target_Sampled,NE_Streams_NE_4th,Base_09Stream,Include,NE,Target,NonUrban,1,88.20179831,None,5135.374,6.77,,Good,572,Poor,6890,Poor,700,Poor,0,0.454701286,OE<0.5,Poor,-1.485090181,Fair,-2.656815405,Moderate,0.787909091,Poor,-2,Fair,47,523.6415011,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,53.4,1.71,9.47,,OW_1,Reason for setting as Not Assessed: Exclude - does not meet length criterion,4/29/2019
1002047,OKS9-0935,2013,1,6/4/2013,35.54539,-99.72271,-334492.2,-212396.1,Plains and Lowlands,Southern Plains,Arkansas-White-Red Region,Arkansas-White-Red Region,,Region_6,SmallStreams,Private,Target_Sampled,OK_Streams_OK_1st2n,Base_09Stream,Include,OK,Target,NonUrban,1,948.2264719,None,6087.2,2.77,8.15,Good,663,Poor,2368,Fair,111,Fair,31.32,0.796008191,O/E<0.8,Good,-0.324554962,Good,-2.147692386,Moderate,1.227272727,Good,-0.399423087,Good,56.21,1441.459762,Above Human Health Threshold,Not Detected,,0.1,,ND,Does Not Exceed 300 ng Hg/g ww,205,1.74,9.65,,,,4/29/2019
1002048,PAS9-0918,2013,1,6/6/2013,41.60763,-77.50377,1520517,608662.7,Eastern Highlands,Northern Appalachians,,Mid-Atlantic Region,,Region_3,SmallStreams,State,Target_Sampled,PA_Streams_PA_2nd,Base_09Stream,Include,PA,Target,NonUrban,1,694.201007,None,198.77,0.77,7.05,Good,42.2,Good,153,Fair,19,Good,79.53,0.913427456,O/E>=0.9,Fair,-0.668480681,Good,0.00209773,Low,0.303045455,Good,0.09246544,Good,71.38,462.8739704,Below Human Health Threshold,<= 8 ug/L,0.134,,0.15,L,Does Not Exceed 300 ng Hg/g ww,77.5,1.68,9.33,,,,4/29/2019
1002049,MDS9-0914,2013,1,6/6/2013,38.68908,-75.7699,1730063,318115.7,Plains and Lowlands,Coastal Plains,,Mid-Atlantic Region,,Region_3,LargeStreams,Private,Target_Sampled,MD_Streams_MD_4th5t,Base_09Stream_RVT,Include,MD,Target,Urban,2,306.7622915,None,447.67,4.26,7.24,Good,141.3,Poor,3038,Fair,86,Poor,19.75,1.023270872,O/E>=0.9,Fair,-0.83456681,Good,-0.850112764,High,3.713993939,Fair,0.067848283,Poor,27.09,,Not Assessed,<= 8 ug/L,0.195,,,,Does Not Exceed 300 ng Hg/g ww,162,1.72,9.51,,,,4/29/2019
1002050,NJR9-0901,2013,1,6/6/2013,41.27242,-74.84022,1744368,617709.3,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_2,RiversMajor,NPS,Target_Sampled,NJ_Rivers_NJ_6th+,Base_09River_RVT,Include,NJ,Target,NonUrban,2,5.822009542,None,272.58,1.96,7.23,Good,81.2,Fair,291,Fair,18,Good,49.85,0.661073246,O/E<0.8,Fair,-0.555671259,Good,1.182955903,Moderate,0.651531818,Good,-0.003070632,Poor,45.51,1452.764941,Above Human Health Threshold,Not Detected,,0.1,,ND,Exceeds 300 ng Hg/g ww,303,2.34,13,,,,4/29/2019
1002051,TXS9-0926,2013,1,6/6/2013,29.91047,-95.49178,49036.42,-847215.2,Plains and Lowlands,Coastal Plains,,Rio Grande-Texas-Gulf Region,,Region_6,SmallStreams,Private,Target_Sampled,TX_Streams_TX_1st,Base_09Stream_RVT,Include,TX,Target,Urban,2,3146.69663,None,3397.38,6.26,7.65,Fair,779,Poor,10888,Poor,2745,Poor,18.03,0.637870198,O/E<0.8,Good,-0.392057827,Good,-0.138006077,High,2.583368182,Poor,-0.949725729,Poor,19.26,701.1128267,Below Human Health Threshold,Not Detected,,0.1,,ND,Does Not Exceed 300 ng Hg/g ww,16.2,1.67,9.23,,,,4/29/2019
1002052,NJSS-1082,2013,1,6/7/2013,41.0507,-74.38407,1786925,601986.8,Eastern Highlands,Northern Appalachians,,Mid-Atlantic Region,,Region_2,SmallStreams,Private,Target_Sampled,NJ_SmallStreams_NAP,Base_NewSmallStreams,Include,NJ,Target,NonUrban,1,286.7284931,None,336.69,3.51,6.62,Good,155,Poor,618,Poor,129,Poor,14.67,0.506655426,O/E<0.8,Good,-0.151530964,Good,0.031199016,High,2.087380952,Good,0.002853004,Not Assessed,,1137.895158,Below Human Health Threshold,Not Detected,,0.1,,ND,Not Assessed,,,,,,,4/29/2019
1002053,NJRO-1020,2013,1,6/9/2013,40.90745,-74.30466,1797006,587858,Eastern Highlands,Southern Appalachians,,Mid-Atlantic Region,,Region_2,RiversOther,Local Government,Target_Sampled,NJ_RiversOther_SAP,Base_NewRiversOther,Include,NJ,Target,NonUrban,1,111.7962681,None,753.84,5.83,7.2,Good,288,Poor,953,Poor,188,Poor,8.28,0.211434138,OE<0.5,Good,-0.089084675,Poor,-2.375932602,Low,0.068181818,Fair,-0.08727083,Poor,35.39,1110.41282,Below Human Health Threshold,<= 8 ug/L,0.17,,,,Not Assessed,319,1.64,9.09,,OW_1,Reason for setting as Not Assessed: Exclude - unknown length and species,4/29/2019
